code,description
N451,Epididymitis
N452,Orchitis
N453,Epididymo-orchitis
N454,Abscess of epididymis or testis
N460,Organic azoospermia
N461,Organic oligospermia
N468,Other male infertility
N469,"Male infertility, unspecified"
N470,"Adherent prepuce, newborn"
N471,Phimosis
N472,Paraphimosis
N473,Deficient foreskin
N474,Benign cyst of prepuce
N475,Adhesions of prepuce and glans penis
N476,Balanoposthitis
N477,Other inflammatory diseases of prepuce
N478,Other disorders of prepuce
N480,Leukoplakia of penis
N481,Balanitis
N482,Abscess of corpus cavernosum and penis
N483,"Priapism, unspecified"
N485,Ulcer of penis
N486,Induration penis plastica
N488,Thrombosis of superficial vein of penis
N489,"Disorder of penis, unspecified"
N490,Inflammatory disorders of seminal vesicle
N491,"Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens"
N492,Inflammatory disorders of scrotum
N493,Fournier gangrene
N498,Inflammatory disorders of other specified male genital organs
N499,Inflammatory disorder of unspecified male genital organ
N500,Atrophy of testis
N501,Vascular disorders of male genital organs
N503,Cyst of epididymis
N508,Right testicular pain
N509,"Disorder of male genital organs, unspecified"
N51,Disorders of male genital organs in diseases classified elsewhere
N520,Erectile dysfunction due to arterial insufficiency
N521,Erectile dysfunction due to diseases classified elsewhere
N522,Drug-induced erectile dysfunction
N523,Erectile dysfunction following radical prostatectomy
N528,Other male erectile dysfunction
N529,"Male erectile dysfunction, unspecified"
N531,Retarded ejaculation
N538,Other male sexual dysfunction
N539,Unspecified male sexual dysfunction
N600,Solitary cyst of right breast
N601,Diffuse cystic mastopathy of right breast
N602,Fibroadenosis of right breast
N603,Fibrosclerosis of right breast
N604,Mammary duct ectasia of right breast
N608,Other benign mammary dysplasias of right breast
N609,Unspecified benign mammary dysplasia of right breast
N610,Mastitis without abscess
N611,Abscess of the breast and nipple
N612,"Granulomatous mastitis, unspecified breast"
N62,Hypertrophy of breast
N630,Unspecified lump in unspecified breast
N631,"Unspecified lump in the right breast, unspecified quadrant"
N632,"Unspecified lump in the left breast, unspecified quadrant"
N633,Unspecified lump in axillary tail of the right breast
N634,"Unspecified lump in right breast, subareolar"
N640,Fissure and fistula of nipple
N641,Fat necrosis of breast
N642,Atrophy of breast
N643,Galactorrhea not associated with childbirth
N644,Mastodynia
N645,Induration of breast
N648,Ptosis of breast
N649,"Disorder of breast, unspecified"
N650,Deformity of reconstructed breast
N651,Disproportion of reconstructed breast
N700,Acute salpingitis
N701,Chronic salpingitis
N709,"Salpingitis, unspecified"
N710,Acute inflammatory disease of uterus
N711,Chronic inflammatory disease of uterus
N719,"Inflammatory disease of uterus, unspecified"
N72,Inflammatory disease of cervix uteri
N730,Acute parametritis and pelvic cellulitis
N731,Chronic parametritis and pelvic cellulitis
N732,Unspecified parametritis and pelvic cellulitis
N733,Female acute pelvic peritonitis
N734,Female chronic pelvic peritonitis
N735,"Female pelvic peritonitis, unspecified"
N736,Female pelvic peritoneal adhesions (postinfective)
N738,Other specified female pelvic inflammatory diseases
N739,"Female pelvic inflammatory disease, unspecified"
N74,Female pelvic inflammatory disorders in diseases classified elsewhere
N750,Cyst of Bartholin's gland
N751,Abscess of Bartholin's gland
N758,Other diseases of Bartholin's gland
N759,"Disease of Bartholin's gland, unspecified"
N760,Acute vaginitis
N761,Subacute and chronic vaginitis
N762,Acute vulvitis
N763,Subacute and chronic vulvitis
N764,Abscess of vulva
N765,Ulceration of vagina
N766,Ulceration of vulva
N768,Mucositis (ulcerative) of vagina and vulva
N770,Ulceration of vulva in diseases classified elsewhere
N771,"Vaginitis, vulvitis and vulvovaginitis in diseases classified elsewhere"
N800,Endometriosis of uterus
N801,Endometriosis of ovary
N802,Endometriosis of fallopian tube
N803,Endometriosis of pelvic peritoneum
N804,Endometriosis of rectovaginal septum and vagina
N805,Endometriosis of intestine
N806,Endometriosis in cutaneous scar
N808,Other endometriosis
N809,"Endometriosis, unspecified"
N810,Urethrocele
N811,"Cystocele, unspecified"
N812,Incomplete uterovaginal prolapse
N813,Complete uterovaginal prolapse
N814,"Uterovaginal prolapse, unspecified"
N815,Vaginal enterocele
N816,Rectocele
N818,Perineocele
N819,"Female genital prolapse, unspecified"
N820,Vesicovaginal fistula
N821,Other female urinary-genital tract fistulae
N822,Fistula of vagina to small intestine
N823,Fistula of vagina to large intestine
N824,Other female intestinal-genital tract fistulae
N825,Female genital tract-skin fistulae
N828,Other female genital tract fistulae
N829,"Female genital tract fistula, unspecified"
N830,"Follicular cyst of ovary, unspecified side"
N831,"Corpus luteum cyst of ovary, unspecified side"
N832,"Unspecified ovarian cyst, right side"
N833,Acquired atrophy of right ovary
N834,"Prolapse and hernia of ovary and fallopian tube, unspecified side"
N835,Torsion of right ovary and ovarian pedicle
N836,Hematosalpinx
N837,Hematoma of broad ligament
N838,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
N839,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
N840,Polyp of corpus uteri
N841,Polyp of cervix uteri
N842,Polyp of vagina
N843,Polyp of vulva
N848,Polyp of other parts of female genital tract
N849,"Polyp of female genital tract, unspecified"
N850,"Endometrial hyperplasia, unspecified"
N852,Hypertrophy of uterus
N853,Subinvolution of uterus
N854,Malposition of uterus
N855,Inversion of uterus
N856,Intrauterine synechiae
N857,Hematometra
N858,Other specified noninflammatory disorders of uterus
N859,"Noninflammatory disorder of uterus, unspecified"
N86,Erosion and ectropion of cervix uteri
N870,Mild cervical dysplasia
N871,Moderate cervical dysplasia
N879,"Dysplasia of cervix uteri, unspecified"
N880,Leukoplakia of cervix uteri
N881,Old laceration of cervix uteri
N882,Stricture and stenosis of cervix uteri
N883,Incompetence of cervix uteri
N884,Hypertrophic elongation of cervix uteri
N888,Other specified noninflammatory disorders of cervix uteri
N889,"Noninflammatory disorder of cervix uteri, unspecified"
N890,Mild vaginal dysplasia
N891,Moderate vaginal dysplasia
N893,"Dysplasia of vagina, unspecified"
N894,Leukoplakia of vagina
N895,Stricture and atresia of vagina
N896,Tight hymenal ring
N897,Hematocolpos
N898,Other specified noninflammatory disorders of vagina
N899,"Noninflammatory disorder of vagina, unspecified"
N900,Mild vulvar dysplasia
N901,Moderate vulvar dysplasia
N903,"Dysplasia of vulva, unspecified"
N904,Leukoplakia of vulva
N905,Atrophy of vulva
N906,Unspecified hypertrophy of vulva
N907,Vulvar cyst
N908,"Female genital mutilation status, unspecified"
N909,"Noninflammatory disorder of vulva and perineum, unspecified"
N910,Primary amenorrhea
N911,Secondary amenorrhea
N912,"Amenorrhea, unspecified"
N913,Primary oligomenorrhea
N914,Secondary oligomenorrhea
N915,"Oligomenorrhea, unspecified"
N920,Excessive and frequent menstruation with regular cycle
N921,Excessive and frequent menstruation with irregular cycle
N922,Excessive menstruation at puberty
N923,Ovulation bleeding
N924,Excessive bleeding in the premenopausal period
N925,Other specified irregular menstruation
N926,"Irregular menstruation, unspecified"
N930,Postcoital and contact bleeding
N931,Pre-pubertal vaginal bleeding
N938,Other specified abnormal uterine and vaginal bleeding
N939,"Abnormal uterine and vaginal bleeding, unspecified"
N940,Mittelschmerz
N941,Unspecified dyspareunia
N942,Vaginismus
N943,Premenstrual tension syndrome
N944,Primary dysmenorrhea
N945,Secondary dysmenorrhea
N946,"Dysmenorrhea, unspecified"
N948,Vulvar vestibulitis
N949,Unspecified condition associated with female genital organs and menstrual cycle
N950,Postmenopausal bleeding
N951,Menopausal and female climacteric states
N952,Postmenopausal atrophic vaginitis
N958,Other specified menopausal and perimenopausal disorders
N959,Unspecified menopausal and perimenopausal disorder
N96,Recurrent pregnancy loss
N970,Female infertility associated with anovulation
N971,Female infertility of tubal origin
N972,Female infertility of uterine origin
N978,Female infertility of other origin
N979,"Female infertility, unspecified"
N980,Infection associated with artificial insemination
N981,Hyperstimulation of ovaries
N982,Complications of attempted introduction of fertilized ovum following in vitro fertilization
N983,Complications of attempted introduction of embryo in embryo transfer
N988,Other complications associated with artificial fertilization
N989,"Complication associated with artificial fertilization, unspecified"
N990,Postprocedural (acute) (chronic) kidney failure
N991,"Postprocedural urethral stricture, male, meatal"
N992,Postprocedural adhesions of vagina
N993,Prolapse of vaginal vault after hysterectomy
N994,Postprocedural pelvic peritoneal adhesions
N995,Cystostomy hemorrhage
N996,Intraoperative hemorrhage and hematoma of a genitourinary system organ or structure complicating a genitourinary system procedure
N997,Accidental puncture and laceration of a genitourinary system organ or structure during a genitourinary system procedure
N998,Other intraoperative complications of genitourinary system
O000,Abdominal pregnancy without intrauterine pregnancy
O001,Right tubal pregnancy without intrauterine pregnancy
O002,Right ovarian pregnancy without intrauterine pregnancy
O008,Other ectopic pregnancy without intrauterine pregnancy
O009,Unspecified ectopic pregnancy without intrauterine pregnancy
O010,Classical hydatidiform mole
O011,Incomplete and partial hydatidiform mole
O019,"Hydatidiform mole, unspecified"
O020,Blighted ovum and nonhydatidiform mole
O021,Missed abortion
O028,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
O029,"Abnormal product of conception, unspecified"
O030,Genital tract and pelvic infection following incomplete spontaneous abortion
O031,Delayed or excessive hemorrhage following incomplete spontaneous abortion
O032,Embolism following incomplete spontaneous abortion
O033,Unspecified complication following incomplete spontaneous abortion
O034,Incomplete spontaneous abortion without complication
O035,Genital tract and pelvic infection following complete or unspecified spontaneous abortion
O036,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion
O037,Embolism following complete or unspecified spontaneous abortion
O038,Unspecified complication following complete or unspecified spontaneous abortion
O039,Complete or unspecified spontaneous abortion without complication
O045,Genital tract and pelvic infection following (induced) termination of pregnancy
O046,Delayed or excessive hemorrhage following (induced) termination of pregnancy
O047,Embolism following (induced) termination of pregnancy
O048,(Induced) termination of pregnancy with unspecified complications
O070,Genital tract and pelvic infection following failed attempted termination of pregnancy
O071,Delayed or excessive hemorrhage following failed attempted termination of pregnancy
O072,Embolism following failed attempted termination of pregnancy
O073,Failed attempted termination of pregnancy with unspecified complications
O074,Failed attempted termination of pregnancy without complication
O080,Genital tract and pelvic infection following ectopic and molar pregnancy
O081,Delayed or excessive hemorrhage following ectopic and molar pregnancy
O082,Embolism following ectopic and molar pregnancy
O083,Shock following ectopic and molar pregnancy
O084,Renal failure following ectopic and molar pregnancy
O085,Metabolic disorders following an ectopic and molar pregnancy
O086,Damage to pelvic organs and tissues following an ectopic and molar pregnancy
O087,Other venous complications following an ectopic and molar pregnancy
O088,Cardiac arrest following an ectopic and molar pregnancy
O089,Unspecified complication following an ectopic and molar pregnancy
O090,"Supervision of pregnancy with history of infertility, unspecified trimester"
O091,"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
O09A,"Supervision of pregnancy with history of molar pregnancy, unspecified trimester"
O092,"Supervision of pregnancy with history of pre-term labor, first trimester"
O093,"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
O094,"Supervision of pregnancy with grand multiparity, unspecified trimester"
O095,"Supervision of elderly primigravida, first trimester"
O096,"Supervision of young primigravida, first trimester"
O097,"Supervision of high risk pregnancy due to social problems, unspecified trimester"
O098,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester"
O099,"Supervision of high risk pregnancy, unspecified, unspecified trimester"
O100,"Pre-existing essential hypertension complicating pregnancy, first trimester"
O101,"Pre-existing hypertensive heart disease complicating pregnancy, first trimester"
O102,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester"
O103,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester"
O104,"Pre-existing secondary hypertension complicating pregnancy, first trimester"
O109,"Unspecified pre-existing hypertension complicating pregnancy, first trimester"
O111,"Pre-existing hypertension with pre-eclampsia, first trimester"
O112,"Pre-existing hypertension with pre-eclampsia, second trimester"
O113,"Pre-existing hypertension with pre-eclampsia, third trimester"
O114,"Pre-existing hypertension with pre-eclampsia, complicating childbirth"
O115,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium"
O119,"Pre-existing hypertension with pre-eclampsia, unspecified trimester"
O120,"Gestational edema, unspecified trimester"
O121,"Gestational proteinuria, unspecified trimester"
O122,"Gestational edema with proteinuria, unspecified trimester"
O131,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester"
O132,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester"
O133,"Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester"
O134,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth"
O135,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the puerperium"
O139,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester"
O140,"Mild to moderate pre-eclampsia, unspecified trimester"
O141,"Severe pre-eclampsia, unspecified trimester"
O142,"HELLP syndrome (HELLP), unspecified trimester"
O149,"Unspecified pre-eclampsia, unspecified trimester"
O150,"Eclampsia complicating pregnancy, unspecified trimester"
O151,Eclampsia complicating labor
O152,Eclampsia complicating the puerperium
O159,"Eclampsia, unspecified as to time period"
O161,"Unspecified maternal hypertension, first trimester"
O162,"Unspecified maternal hypertension, second trimester"
O163,"Unspecified maternal hypertension, third trimester"
O164,"Unspecified maternal hypertension, complicating childbirth"
O165,"Unspecified maternal hypertension, complicating the puerperium"
O169,"Unspecified maternal hypertension, unspecified trimester"
O200,Threatened abortion
O208,Other hemorrhage in early pregnancy
O209,"Hemorrhage in early pregnancy, unspecified"
O210,Mild hyperemesis gravidarum
O211,Hyperemesis gravidarum with metabolic disturbance
O212,Late vomiting of pregnancy
O218,Other vomiting complicating pregnancy
O219,"Vomiting of pregnancy, unspecified"
O220,"Varicose veins of lower extremity in pregnancy, unspecified trimester"
O221,"Genital varices in pregnancy, unspecified trimester"
O222,"Superficial thrombophlebitis in pregnancy, unspecified trimester"
O223,"Deep phlebothrombosis in pregnancy, unspecified trimester"
O224,"Hemorrhoids in pregnancy, unspecified trimester"
O225,"Cerebral venous thrombosis in pregnancy, unspecified trimester"
O228,"Other venous complications in pregnancy, first trimester"
O229,"Venous complication in pregnancy, unspecified, unspecified trimester"
O230,"Infections of kidney in pregnancy, unspecified trimester"
O231,"Infections of bladder in pregnancy, unspecified trimester"
O232,"Infections of urethra in pregnancy, unspecified trimester"
O233,"Infections of other parts of urinary tract in pregnancy, unspecified trimester"
O234,"Unspecified infection of urinary tract in pregnancy, unspecified trimester"
O235,"Infections of cervix in pregnancy, first trimester"
O239,"Unspecified genitourinary tract infection in pregnancy, unspecified trimester"
O240,"Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester"
O241,"Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester"
O243,"Unspecified pre-existing diabetes mellitus in pregnancy, first trimester"
O244,"Gestational diabetes mellitus in pregnancy, diet controlled"
O248,"Other pre-existing diabetes mellitus in pregnancy, first trimester"
O249,"Unspecified diabetes mellitus in pregnancy, first trimester"
O251,"Malnutrition in pregnancy, unspecified trimester"
O252,Malnutrition in childbirth
O253,Malnutrition in the puerperium
O260,"Excessive weight gain in pregnancy, unspecified trimester"
O261,"Low weight gain in pregnancy, unspecified trimester"
O262,"Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester"
O263,"Retained intrauterine contraceptive device in pregnancy, unspecified trimester"
O264,"Herpes gestationis, unspecified trimester"
O265,"Maternal hypotension syndrome, unspecified trimester"
O266,"Liver and biliary tract disorders in pregnancy, first trimester"
O267,"Subluxation of symphysis (pubis) in pregnancy, first trimester"
O268,"Pregnancy related exhaustion and fatigue, first trimester"
O269,"Pregnancy related conditions, unspecified, unspecified trimester"
O280,Abnormal hematological finding on antenatal screening of mother
O281,Abnormal biochemical finding on antenatal screening of mother
O282,Abnormal cytological finding on antenatal screening of mother
O283,Abnormal ultrasonic finding on antenatal screening of mother
O284,Abnormal radiological finding on antenatal screening of mother
O285,Abnormal chromosomal and genetic finding on antenatal screening of mother
O288,Other abnormal findings on antenatal screening of mother
O289,Unspecified abnormal findings on antenatal screening of mother
O290,"Aspiration pneumonitis due to anesthesia during pregnancy, first trimester"
O291,"Cardiac arrest due to anesthesia during pregnancy, first trimester"
O292,"Cerebral anoxia due to anesthesia during pregnancy, first trimester"
O293,"Toxic reaction to local anesthesia during pregnancy, first trimester"
O294,"Spinal and epidural anesthesia induced headache during pregnancy, unspecified trimester"
O295,"Other complications of spinal and epidural anesthesia during pregnancy, first trimester"
O296,"Failed or difficult intubation for anesthesia during pregnancy, unspecified trimester"
O298,"Other complications of anesthesia during pregnancy, first trimester"
O299,"Unspecified complication of anesthesia during pregnancy, unspecified trimester"
O300,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O301,"Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O302,"Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O308,"Other specified multiple gestation, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
O309,"Multiple gestation, unspecified, unspecified trimester"
O310,"Papyraceous fetus, unspecified trimester, not applicable or unspecified"
O311,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester, not applicable or unspecified"
O312,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester, not applicable or unspecified"
O313,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, not applicable or unspecified"
O318,"Other complications specific to multiple gestation, first trimester, not applicable or unspecified"
O320,"Maternal care for unstable lie, not applicable or unspecified"
O321,"Maternal care for breech presentation, not applicable or unspecified"
O322,"Maternal care for transverse and oblique lie, not applicable or unspecified"
O323,"Maternal care for face, brow and chin presentation, not applicable or unspecified"
O324,"Maternal care for high head at term, not applicable or unspecified"
O326,"Maternal care for compound presentation, not applicable or unspecified"
O328,"Maternal care for other malpresentation of fetus, not applicable or unspecified"
O329,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified"
O330,Maternal care for disproportion due to deformity of maternal pelvic bones
O331,Maternal care for disproportion due to generally contracted pelvis
O332,Maternal care for disproportion due to inlet contraction of pelvis
O333,"Maternal care for disproportion due to outlet contraction of pelvis, not applicable or unspecified"
O334,"Maternal care for disproportion of mixed maternal and fetal origin, not applicable or unspecified"
O335,"Maternal care for disproportion due to unusually large fetus, not applicable or unspecified"
O336,"Maternal care for disproportion due to hydrocephalic fetus, not applicable or unspecified"
O337,"Maternal care for disproportion due to other fetal deformities, not applicable or unspecified"
O338,Maternal care for disproportion of other origin
O339,"Maternal care for disproportion, unspecified"
O340,"Maternal care for unspecified congenital malformation of uterus, unspecified trimester"
O341,"Maternal care for benign tumor of corpus uteri, unspecified trimester"
O342,Maternal care for low transverse scar from previous cesarean delivery
O343,"Maternal care for cervical incompetence, unspecified trimester"
O344,"Maternal care for other abnormalities of cervix, unspecified trimester"
O345,"Maternal care for incarceration of gravid uterus, first trimester"
O346,"Maternal care for abnormality of vagina, unspecified trimester"
O347,"Maternal care for abnormality of vulva and perineum, unspecified trimester"
O348,"Maternal care for other abnormalities of pelvic organs, unspecified trimester"
O349,"Maternal care for abnormality of pelvic organ, unspecified, unspecified trimester"
O350,"Maternal care for (suspected) central nervous system malformation in fetus, not applicable or unspecified"
O351,"Maternal care for (suspected) chromosomal abnormality in fetus, not applicable or unspecified"
O352,"Maternal care for (suspected) hereditary disease in fetus, not applicable or unspecified"
O353,"Maternal care for (suspected) damage to fetus from viral disease in mother, not applicable or unspecified"
O354,"Maternal care for (suspected) damage to fetus from alcohol, not applicable or unspecified"
O355,"Maternal care for (suspected) damage to fetus by drugs, not applicable or unspecified"
O356,"Maternal care for (suspected) damage to fetus by radiation, not applicable or unspecified"
O357,"Maternal care for (suspected) damage to fetus by other medical procedures, not applicable or unspecified"
O358,"Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified"
O359,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified"
O360,"Maternal care for anti-D [Rh] antibodies, first trimester, not applicable or unspecified"
O361,"Maternal care for Anti-A sensitization, first trimester, not applicable or unspecified"
O362,"Maternal care for hydrops fetalis, unspecified trimester, not applicable or unspecified"
O364,"Maternal care for intrauterine death, not applicable or unspecified"
O365,"Maternal care for known or suspected placental insufficiency, first trimester, not applicable or unspecified"
O366,"Maternal care for excessive fetal growth, unspecified trimester, not applicable or unspecified"
O367,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, not applicable or unspecified"
O368,"Pregnancy with inconclusive fetal viability, not applicable or unspecified"
O369,"Maternal care for fetal problem, unspecified, unspecified trimester, not applicable or unspecified"
O401,"Polyhydramnios, first trimester, not applicable or unspecified"
O402,"Polyhydramnios, second trimester, not applicable or unspecified"
O403,"Polyhydramnios, third trimester, not applicable or unspecified"
O409,"Polyhydramnios, unspecified trimester, not applicable or unspecified"
O410,"Oligohydramnios, unspecified trimester, not applicable or unspecified"
O411,"Infection of amniotic sac and membranes, unspecified, first trimester, not applicable or unspecified"
O418,"Other specified disorders of amniotic fluid and membranes, first trimester, not applicable or unspecified"
O419,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, not applicable or unspecified"
O420,"Premature rupture of membranes, onset of labor within 24 hours of rupture, unspecified weeks of gestation"
O421,"Premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified weeks of gestation"
O429,"Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified weeks of gestation"
O430,"Fetomaternal placental transfusion syndrome, first trimester"
O431,"Malformation of placenta, unspecified, first trimester"
O432,"Placenta accreta, first trimester"
O438,"Placental infarction, first trimester"
O439,"Unspecified placental disorder, unspecified trimester"
O440,"Complete placenta previa NOS or without hemorrhage, unspecified trimester"
O441,"Complete placenta previa with hemorrhage, unspecified trimester"
O442,"Partial placenta previa NOS or without hemorrhage, unspecified trimester"
O443,"Partial placenta previa with hemorrhage, unspecified trimester"
O444,"Low lying placenta NOS or without hemorrhage, unspecified trimester"
O445,"Low lying placenta with hemorrhage, unspecified trimester"
O450,"Premature separation of placenta with coagulation defect, unspecified, first trimester"
O458,"Other premature separation of placenta, first trimester"
O459,"Premature separation of placenta, unspecified, unspecified trimester"
O460,"Antepartum hemorrhage with coagulation defect, unspecified, first trimester"
O468,"Other antepartum hemorrhage, first trimester"
O469,"Antepartum hemorrhage, unspecified, unspecified trimester"
O470,"False labor before 37 completed weeks of gestation, unspecified trimester"
O471,False labor at or after 37 completed weeks of gestation
O479,"False labor, unspecified"
O480,Post-term pregnancy
O481,Prolonged pregnancy
O600,"Preterm labor without delivery, unspecified trimester"
O601,"Preterm labor with preterm delivery, unspecified trimester, not applicable or unspecified"
O602,"Term delivery with preterm labor, unspecified trimester, not applicable or unspecified"
O610,Failed medical induction of labor
O611,Failed instrumental induction of labor
O618,Other failed induction of labor
O619,"Failed induction of labor, unspecified"
O620,Primary inadequate contractions
O621,Secondary uterine inertia
O622,Other uterine inertia
O623,Precipitate labor
O624,"Hypertonic, incoordinate, and prolonged uterine contractions"
O628,Other abnormalities of forces of labor
O629,"Abnormality of forces of labor, unspecified"
O630,Prolonged first stage (of labor)
O631,Prolonged second stage (of labor)
O632,"Delayed delivery of second twin, triplet, etc."
O639,"Long labor, unspecified"
O640,"Obstructed labor due to incomplete rotation of fetal head, not applicable or unspecified"
O641,"Obstructed labor due to breech presentation, not applicable or unspecified"
O642,"Obstructed labor due to face presentation, not applicable or unspecified"
O643,"Obstructed labor due to brow presentation, not applicable or unspecified"
O644,"Obstructed labor due to shoulder presentation, not applicable or unspecified"
O645,"Obstructed labor due to compound presentation, not applicable or unspecified"
O648,"Obstructed labor due to other malposition and malpresentation, not applicable or unspecified"
O649,"Obstructed labor due to malposition and malpresentation, unspecified, not applicable or unspecified"
O650,Obstructed labor due to deformed pelvis
O651,Obstructed labor due to generally contracted pelvis
O652,Obstructed labor due to pelvic inlet contraction
O653,Obstructed labor due to pelvic outlet and mid-cavity contraction
O654,"Obstructed labor due to fetopelvic disproportion, unspecified"
O655,Obstructed labor due to abnormality of maternal pelvic organs
O658,Obstructed labor due to other maternal pelvic abnormalities
O659,"Obstructed labor due to maternal pelvic abnormality, unspecified"
O660,Obstructed labor due to shoulder dystocia
O661,Obstructed labor due to locked twins
O662,Obstructed labor due to unusually large fetus
O663,Obstructed labor due to other abnormalities of fetus
O664,"Failed trial of labor, unspecified"
O665,Attempted application of vacuum extractor and forceps
O666,Obstructed labor due to other multiple fetuses
O668,Other specified obstructed labor
O669,"Obstructed labor, unspecified"
O670,Intrapartum hemorrhage with coagulation defect
O678,Other intrapartum hemorrhage
O679,"Intrapartum hemorrhage, unspecified"
O68,Labor and delivery complicated by abnormality of fetal acid-base balance
O690,"Labor and delivery complicated by prolapse of cord, not applicable or unspecified"
O691,"Labor and delivery complicated by cord around neck, with compression, not applicable or unspecified"
O692,"Labor and delivery complicated by other cord entanglement, with compression, not applicable or unspecified"
O693,"Labor and delivery complicated by short cord, not applicable or unspecified"
O694,"Labor and delivery complicated by vasa previa, not applicable or unspecified"
O695,"Labor and delivery complicated by vascular lesion of cord, not applicable or unspecified"
O698,"Labor and delivery complicated by cord around neck, without compression, not applicable or unspecified"
O699,"Labor and delivery complicated by cord complication, unspecified, not applicable or unspecified"
O700,First degree perineal laceration during delivery
O701,Second degree perineal laceration during delivery
O702,"Third degree perineal laceration during delivery, unspecified"
O703,Fourth degree perineal laceration during delivery
O704,"Anal sphincter tear complicating delivery, not associated with third degree laceration"
O709,"Perineal laceration during delivery, unspecified"
O710,"Rupture of uterus before onset of labor, unspecified trimester"
O711,Rupture of uterus during labor
O712,Postpartum inversion of uterus
O713,Obstetric laceration of cervix
O714,Obstetric high vaginal laceration alone
O715,Other obstetric injury to pelvic organs
O716,Obstetric damage to pelvic joints and ligaments
O717,Obstetric hematoma of pelvis
O718,"Laceration of uterus, not elsewhere classified"
O719,"Obstetric trauma, unspecified"
O720,Third-stage hemorrhage
O721,Other immediate postpartum hemorrhage
O722,Delayed and secondary postpartum hemorrhage
O723,Postpartum coagulation defects
O730,Retained placenta without hemorrhage
O731,"Retained portions of placenta and membranes, without hemorrhage"
O740,Aspiration pneumonitis due to anesthesia during labor and delivery
O741,Other pulmonary complications of anesthesia during labor and delivery
O742,Cardiac complications of anesthesia during labor and delivery
O743,Central nervous system complications of anesthesia during labor and delivery
O744,Toxic reaction to local anesthesia during labor and delivery
O745,Spinal and epidural anesthesia-induced headache during labor and delivery
O746,Other complications of spinal and epidural anesthesia during labor and delivery
O747,Failed or difficult intubation for anesthesia during labor and delivery
O748,Other complications of anesthesia during labor and delivery
O749,"Complication of anesthesia during labor and delivery, unspecified"
O750,Maternal distress during labor and delivery
O751,Shock during or following labor and delivery
O752,"Pyrexia during labor, not elsewhere classified"
O753,Other infection during labor
O754,Other complications of obstetric surgery and procedures
O755,Delayed delivery after artificial rupture of membranes
O758,Maternal exhaustion complicating labor and delivery
O759,"Complication of labor and delivery, unspecified"
O76,Abnormality in fetal heart rate and rhythm complicating labor and delivery
O770,Labor and delivery complicated by meconium in amniotic fluid
O771,Fetal stress in labor or delivery due to drug administration
O778,Labor and delivery complicated by other evidence of fetal stress
O779,"Labor and delivery complicated by fetal stress, unspecified"
O80,Encounter for full-term uncomplicated delivery
O82,Encounter for cesarean delivery without indication
O85,Puerperal sepsis
O860,"Infection of obstetric surgical wound, unspecified"
O861,Cervicitis following delivery
O862,"Urinary tract infection following delivery, unspecified"
O864,Pyrexia of unknown origin following delivery
O868,Puerperal septic thrombophlebitis
O870,Superficial thrombophlebitis in the puerperium
O871,Deep phlebothrombosis in the puerperium
O872,Hemorrhoids in the puerperium
O873,Cerebral venous thrombosis in the puerperium
O874,Varicose veins of lower extremity in the puerperium
O878,Other venous complications in the puerperium
O879,"Venous complication in the puerperium, unspecified"
O880,"Air embolism in pregnancy, first trimester"
O881,"Amniotic fluid embolism in pregnancy, first trimester"
O882,"Thromboembolism in pregnancy, first trimester"
